county,112.12.28_cases,112.12.28_central_k,112.12.28_total_k,113.04.18_cases,113.04.18_central_k,113.04.18_total_k,113.06.07_cases,113.06.07_central_k,113.06.07_total_k,113.09.09_cases,113.09.09_central_k,113.09.09_total_k,113.12.04_cases,113.12.04_central_k,113.12.04_total_k,114.07.31_cases,114.07.31_central_k,114.07.31_total_k,115.05.05_cases,115.05.05_central_k,115.05.05_total_k,cum_cases,cum_central_k,cum_total_k
基隆市,1,3444,4200,1,3690,4500,6,58167,70935,0,0,0,1,8200,10000,3,9248,11278,3,96125,114435,15,178874,215348
臺北市,1,139300,398000,0,0,0,6,132889,379684,0,0,0,2,4025,11500,6,163061,465890,3,72835,208100,18,512110,1463174
新北市,1,84000,168000,0,0,0,13,238826,477656,0,0,0,6,92124,184248,8,135778,271554,13,256750,366791,41,807478,1468249
桃園市,1,149240,182000,0,0,0,8,108410,132204,2,82355,100433,9,203751,248477,10,211925,258444,9,199231,242965,39,954912,1164523
新竹市,1,22960,28000,0,0,0,1,4920,6000,5,39954,48727,10,313126,381862,6,99630,121500,5,75368,150737,28,555958,736826
新竹縣,1,21320,26000,0,0,0,12,149315,182090,3,89198,108780,11,173463,211542,9,116768,142400,10,89543,179087,46,639607,849899
苗栗縣,1,15840,18000,0,0,0,14,114439,130045,2,61600,70000,7,69468,78942,6,105406,119780,7,129356,153997,37,496109,570764
臺中市,1,63000,126000,0,0,0,24,273159,546322,6,208967,417936,24,82941,165885,20,160148,320292,18,314122,383080,93,1102337,1959515
彰化縣,1,18480,22000,0,0,0,10,125732,149680,4,129729,154441,14,226505,269652,8,149516,177995,6,66361,75414,43,716323,849182
南投縣,0,0,0,0,0,0,3,39325,46816,0,0,0,4,74356,88520,3,48248,57437,5,51988,63400,15,213917,256173
雲林縣,1,3520,4000,0,0,0,9,133179,151342,2,71860,81660,11,230671,262128,9,180709,205352,10,146488,174392,42,766427,878874
嘉義市,0,0,0,0,0,0,9,184447,219583,0,0,0,13,240297,286070,4,88341,105168,5,150899,179643,31,663984,790464
嘉義縣,0,0,0,1,1760,2000,10,200900,228298,2,66712,75810,6,74875,85088,2,13481,15319,6,118310,140846,27,476038,547361
臺南市,1,39360,48000,0,0,0,15,305273,372287,5,74333,90650,24,618462,754226,17,344633,420285,25,334055,379614,87,1716116,2065062
高雄市,1,98400,120000,0,0,0,13,219933,268216,4,66721,81368,21,218046,265915,34,898734,1096024,33,643209,765737,106,2145043,2597260
屏東縣,1,10560,12000,0,0,0,10,215367,244734,2,95581,108616,9,111820,127070,8,116203,132050,13,310621,352981,43,860152,977451
宜蘭縣,1,3671,4370,0,0,0,0,0,0,0,0,0,9,131821,156933,5,76657,91258,16,300576,366558,31,512725,619119
花蓮縣,1,6720,8000,0,0,0,6,126157,150189,0,0,0,11,202550,241133,4,94418,112402,7,110470,157815,29,540315,669539
臺東縣,0,0,0,0,0,0,3,51990,59080,0,0,0,2,52089,59193,5,101270,115080,6,40973,81946,16,246322,315299
澎湖縣,1,1760,2000,0,0,0,2,21254,24153,0,0,0,3,59079,67137,1,17600,20000,1,33044,37550,8,132737,150840
金門縣,0,0,0,0,0,0,1,7134,8700,2,14323,17469,6,104954,127996,2,13243,16150,5,140028,200042,16,279682,370357
連江縣,0,0,0,0,0,0,0,0,0,0,0,0,1,5668,6441,2,43625,49574,2,33779,38386,5,83072,94401
